latent_dim,n_params,test_mse,snr_improvement_db,snr_output_db,best_epoch
4,28725,0.014065714552998543,11.560253143310547,20.016136169433594,49
8,36921,0.005586219951510429,14.911569595336914,23.36745262145996,47
16,53313,0.005269146058708429,15.173593521118164,23.62947654724121,47
32,86097,0.005346468184143305,15.190450668334961,23.646333694458008,48
64,151665,0.005337992217391729,15.15829849243164,23.614181518554688,35
