article,noise_kind,n_realizations,mse_clean_pass,snr_db_clean_pass,mse_input_mean,mse_recon_mean,mse_recon_std,snr_input_db_mean,snr_recon_db_mean,snr_improvement_db
Influenza,gaussian,20,3.10474970319774e-05,64.77243041992188,0.14542932957410812,0.013811914203688502,0.0026005116520708767,28.071164989471434,38.37368888854981,10.302523899078373
Common_cold,gaussian,20,1.8800330508383922e-05,66.48552703857422,0.145429328083992,0.01498009213246405,0.002647397692672005,27.605640602111816,37.54533863067627,9.939698028564454
Fever,gaussian,20,1.1806824659288395e-05,68.43338775634766,0.1454293303191662,0.01742354375310242,0.0027755069551947723,27.533181381225585,36.79794883728027,9.264767456054688
Cough,gaussian,20,4.71221437692293e-06,71.19081115722656,0.14542932957410812,0.018998048221692442,0.0035770550919797094,26.30152463912964,35.208450889587404,8.906926250457765
Christmas,gaussian,20,0.00022709120821673423,56.43750762939453,0.1454293340444565,0.00952301595825702,0.0019063618853020741,28.377973651885988,40.30694007873535,11.928966426849364
