article,c,m,A,f,phi,period_weeks,r_squared
Influenza,10.399174375434589,-0.003561959392192494,0.37951112339036885,0.019509955461738396,0.9147418476432234,51.25588328282616,0.6328905658140759
Common_cold,9.74641517811295,-0.002830789770861806,0.30707241517560463,0.019558687969001506,1.151990974136413,51.128173913551684,0.5890613764199868
Fever,9.695650627149417,-0.002927111312495685,0.1361620925338403,0.019659827898084733,0.9468364113159113,50.86514516728909,0.7763488974482174
Cough,8.355858267626985,-0.0024475831732923754,0.18567100646954954,0.003323457546821331,0.23817927393878202,300.89146195245803,0.570077487233023
Christmas,10.13539450685569,-0.000731261736171796,0.8968703791287971,0.019178305242790173,2.1029167736354184,52.14225070152831,0.5540008593626684
