model,n_params,train_loss_final,val_loss_best,test_mse,snr_input_db,snr_output_db,snr_improvement_db,train_seconds,best_epoch
mlp,101136,0.0047094868253916,0.0064625629149377,0.0063156271353363,8.455883026123047,22.94906044006348,14.49317741394043,56.77952694892883,19
cnn1d,53313,0.0047710764184594,0.0054458840154111,0.0052523645572364,8.455883026123047,23.63438606262207,15.178503036499023,585.7300431728363,47
