train_noise,eval_noise,test_mse,snr_improvement_db,snr_output_db
gaussian,gaussian,0.0054840994998812675,15.134262084960938,23.574846267700195
gaussian,masking,0.012479931116104126,11.073270797729492,20.678754806518555
gaussian,impulse,0.019335990771651268,9.738840103149414,19.805246353149414
masking,gaussian,0.038583312183618546,6.264101028442383,14.70468521118164
masking,masking,0.0005006099818274379,25.172855377197266,34.77833938598633
masking,impulse,0.500293493270874,-2.1355299949645996,7.9308762550354
impulse,gaussian,0.011408214457333088,11.520917892456055,19.961502075195312
impulse,masking,0.029406653717160225,7.930500030517578,17.53598403930664
impulse,impulse,0.0004908404080197215,24.549118041992188,34.61552429199219
